nom pilote,abandon,grand prix,pourcentage d abandon,abandon T1,nombre de victoire,pourcentage de victoire,moyenne de points par saison,nombre de championnat du monde,nombre de saison,nombre de pole position,nombre de podium
Lewis Hamilton,27,284,9.44,4,102,35.66,274.77,7,16,103,182
Valtteri Bottas,17,176,9.66,1,10,5.68,190.56,0,9,20,67
Max Verstappen,29,139,20.86,6,19,13.67,216.21,1,7,13,60
Sergio Perez,26,211,12.32,4,2,0.81,81.45,0,10,0,15
Lando Norris,8,58,13.79,0,0,0.00,99.67,0,3,1,5
Daniel Riccardo,34,208,16.35,1,8,3.68,114.91,0,10,3,30
Charles Leclerc,14,78,17.83,4,2,2.56,138.25,0,4,9,13
Carlos Sainz,27,138,19.57,5,0,0.00,73.93,0,6,0,6
Sebastian Vettel,40,217,14.4,7,53,19.13,204.07,4,15,57,122
Lance Stroll,19,98,19.49,4,0,0.00,35.2,0,4,1,3
Esteban Ocon,13,87,14.94,5,1,1.15,51.6,0,6,0,2
Fernando Alonso,69,332,20.78,7,32,9.64,109.78,2,18,22,98
Pierre Gasly,15,84,17.86,3,1,1.19,58.2,0,5,0,3
Yuki Tsunoda,3,19,15.79,1,0,0.00,20.0,0,1,0,0
Kimi Raikkonen,71,348,20.4,11,21,6.03,98.58,1,18,18,103
Antonio Giovinazzi,6,60,10.0,0,0,0.00,4.64,0,5,0,0
Nikita Mazepin,4,20,20.0,1,0,0.00,0.0,0,1,0,0
Mick Schumacher,2,20,10.0,1,0,0.00,0.0,0,1,0,0
George Russell,10,58,17.24,0,0,0.00,6.33,0,3,0,1
Nicholas Latifi,7,37,18.37,1,0,0.00,3.5,0,2,0,0
